image,illumination,geometry,glossiness,refsharp,contgloss,metallicness,lightness,anisotropy
[1_2_fish_eagle_hill_2k][blob][MERL-pink-fabric2].jpg,2,5,1,1,1,1,2,1
[1_2_fish_eagle_hill_2k][blob][MERL-pink-fabric].jpg,2,5,1,1,1,1,1.5,1.5
[1_2_fish_eagle_hill_2k][blob][MERL-pink-felt].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-pink-jasper].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL-pink-plastic].jpg,2,5,1,1,1,1,2,1
[1_2_fish_eagle_hill_2k][blob][MERL-polyethylene].jpg,2,5,1,1,1,1,4,1
[1_2_fish_eagle_hill_2k][blob][MERL-polyurethane-foam].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-pure-rubber].jpg,2,5,3,2,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-purple-paint].jpg,2,5,2,1,1,1,3,2
[1_2_fish_eagle_hill_2k][blob][MERL-pvc].jpg,2,5,2,2,2,2,2,3
[1_2_fish_eagle_hill_2k][blob][MERL-red-fabric2].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-red-fabric].jpg,2,5,1,1,1,1,3,3
[1_2_fish_eagle_hill_2k][blob][MERL-red-metallic-paint].jpg,2,5,7,3,6,2,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-red-phenolic].jpg,2,5,3,1.5,1,1,2,2
[1_2_fish_eagle_hill_2k][blob][MERL-red-plastic].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-red-specular-plastic].jpg,2,5,2,2,3,5,4,3
[1_2_fish_eagle_hill_2k][blob][MERL-silicon-nitrade].jpg,2,5,6,6,6,6,5,6
[1_2_fish_eagle_hill_2k][blob][MERL-silver-metallic-paint2].jpg,2,5,2,1,2,3,2,4
[1_2_fish_eagle_hill_2k][blob][MERL-silver-metallic-paint].jpg,2,5,3,2,1,2,2,2
[1_2_fish_eagle_hill_2k][blob][MERL-silver-paint].jpg,2,5,2,1,1,1,2,3
[1_2_fish_eagle_hill_2k][blob][MERL-special-walnut-224].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-specular-black-phenolic].jpg,2,5,7,7,7,7,7,7
[1_2_fish_eagle_hill_2k][blob][MERL-specular-blue-phenolic].jpg,2,5,4,4,4,3,3,4
[1_2_fish_eagle_hill_2k][blob][MERL-specular-green-phenolic].jpg,2,5,7,7,7,7,7,7
[1_2_fish_eagle_hill_2k][blob][MERL-specular-maroon-phenolic].jpg,2,5,4,4,4,3,4,4
[1_2_fish_eagle_hill_2k][blob][MERL-specular-orange-phenolic].jpg,2,5,6,6,6,1,4,5
[1_2_fish_eagle_hill_2k][blob][MERL-specular-red-phenolic].jpg,2,5,5,4,2,2,3,5
[1_2_fish_eagle_hill_2k][blob][MERL-specular-violet-phenolic].jpg,2,5,6,5,5,2,4,3
[1_2_fish_eagle_hill_2k][blob][MERL-specular-white-phenolic].jpg,2,5,5,3,3,5,5,1
[1_2_fish_eagle_hill_2k][blob][MERL-specular-yellow-phenolic].jpg,2,5,3,3,2,4,3,4
[1_2_fish_eagle_hill_2k][blob][MERL-ss440].jpg,2,5,7,6,6,7,5,6
[1_2_fish_eagle_hill_2k][blob][MERL-steel].jpg,2,5,6,5,6,7,5,6
[1_2_fish_eagle_hill_2k][blob][MERL-teflon].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-tungsten-carbide].jpg,2,5,7,7,7,7,7,7
[1_2_fish_eagle_hill_2k][blob][MERL-two-layer-gold].jpg,2,5,7,7,4,6,7,7
[1_2_fish_eagle_hill_2k][blob][MERL-two-layer-silver].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-violet-acrylic].jpg,2,5,5,5,5,2,2,5
[1_2_fish_eagle_hill_2k][blob][MERL-violet-rubber].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-white-acrylic].jpg,2,5,2,1,2,2,2,2
[1_2_fish_eagle_hill_2k][blob][MERL-white-diffuse-bball].jpg,2,5,2,1,1,1,2,1
[1_2_fish_eagle_hill_2k][blob][MERL-white-fabric2].jpg,2,5,1,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL-white-fabric].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-white-marble].jpg,2,5,4,2,3,4,4,2.5
[1_2_fish_eagle_hill_2k][blob][MERL-white-paint].jpg,2,5,4,1,1,1,5,1
[1_2_fish_eagle_hill_2k][blob][MERL-yellow-matte-plastic].jpg,2,5,3,1,1,2,5,2
[1_2_fish_eagle_hill_2k][blob][MERL-yellow-paint].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL-yellow-phenolic].jpg,2,5,2,3,3,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL-yellow-plastic].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_0_spec_0].jpg,2,5,5,5,4,4,4,6
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_0_spec_2].jpg,2,5,7,4,5,4,4,7
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_1_spec_0].jpg,2,5,7,7,7,7,7,7
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_0_sat_1_spec_1].jpg,2,5,7,4,4,3,4,6
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_1_sat_0_spec_1].jpg,2,5,3,4,2,1,2,4.5
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_1_sat_0_spec_2].jpg,2,5,5,3,3,4,3,5
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_1_sat_1_spec_0].jpg,2,5,5,4,4,2,5,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_0_spec_0].jpg,2,5,5,3,4,3,5,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_0_spec_1].jpg,2,5,5,2,3,5,4,6
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_0_spec_2].jpg,2,5,5,2,2,2,5,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_1_spec_0].jpg,2,5,3,1,1,2,2,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_1_spec_1].jpg,2,5,7,1,1,2.5,6,7
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_grease-covered-steel_spec_hue_2_sat_1_spec_2].jpg,2,5,4,3,3,3,3,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_0_sat_0_spec_0].jpg,2,5,1,1,3.5,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_0_sat_0_spec_1].jpg,2,5,1,2,3,1,2,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_0_sat_0_spec_2].jpg,2,5,4,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_0_sat_1_spec_0].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_0_sat_1_spec_1].jpg,2,5,1,2,1,2,4,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_0_sat_1_spec_2].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_1_sat_0_spec_0].jpg,2,5,1,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_1_sat_0_spec_1].jpg,2,5,2,2,2,1,6,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_1_sat_0_spec_2].jpg,2,5,1,1,1,1,5,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_1_sat_1_spec_1].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_1_sat_1_spec_2].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_2_sat_0_spec_0].jpg,2,5,2,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_2_sat_0_spec_1].jpg,2,5,1,1,1,1,3,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_2_sat_1_spec_1].jpg,2,5,2,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_natural-209_spec_hue_2_sat_1_spec_2].jpg,2,5,2,2,2,2,2,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_0_sat_0_spec_0].jpg,2,5,6,2,4,4,5,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_0_sat_0_spec_1].jpg,2,5,7,6,4,5,4,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_0_sat_1_spec_1].jpg,2,5,7,6,5,7,6,7
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_0_sat_1_spec_2].jpg,2,5,5,6,5,7,5,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_1_sat_0_spec_0].jpg,2,5,7,6,4,7,5,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_1_sat_0_spec_1].jpg,2,5,3,2,3,4,4,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_1_sat_1_spec_1].jpg,2,5,5,4,3,4,6,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_2_sat_0_spec_1].jpg,2,5,7,4,5,7,7,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_2_sat_0_spec_2].jpg,2,5,3,2,2,3,3,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_2_sat_1_spec_1].jpg,2,5,7,6,5,7,5,5
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nickel_spec_hue_2_sat_1_spec_2].jpg,2,5,2,2,1,1,2,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_0_sat_0_spec_1].jpg,2,5,1,1,1,1,2,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_0_sat_1_spec_0].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_1_sat_0_spec_0].jpg,2,5,1,1,1,1,2,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_1_sat_0_spec_1].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_1_sat_0_spec_2].jpg,2,5,2,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_1_sat_1_spec_1].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_2_sat_0_spec_1].jpg,2,5,1,4,1,1,3,7
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_2_sat_0_spec_2].jpg,2,5,1,1,1,1,4,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_2_sat_1_spec_0].jpg,2,5,1,1,1,1,4,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_nylon_spec_hue_2_sat_1_spec_2].jpg,2,5,2,1,1,1,2,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_0_sat_0_spec_0].jpg,2,5,2,1,1,1,2,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_0_sat_0_spec_1].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_0_sat_0_spec_2].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_0_sat_1_spec_0].jpg,2,5,1,1,1,1,3,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_0_sat_1_spec_1].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_0_sat_1_spec_2].jpg,2,5,2,1,1,2,3,5
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_1_sat_0_spec_0].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_1_sat_0_spec_1].jpg,2,5,1,1,1,1,3,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_1_sat_0_spec_2].jpg,2,5,1,1,1,1,3,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_1_sat_1_spec_1].jpg,2,5,1,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_2_sat_0_spec_0].jpg,2,5,2,1,1,2,4,5
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_2_sat_0_spec_1].jpg,2,5,2,1,1,1,2,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_2_sat_0_spec_2].jpg,2,5,2,1,1,2,3,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_2_sat_1_spec_0].jpg,2,5,1,1,1,1,2,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_2_sat_1_spec_1].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_pink-plastic_spec_hue_2_sat_1_spec_2].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_0_sat_0_spec_0].jpg,2,5,1,1,1,1,6,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_0_sat_0_spec_1].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_0_sat_0_spec_2].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_0_sat_1_spec_0].jpg,2,5,2,1,1,1,5,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_0_sat_1_spec_2].jpg,2,5,1,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_1_sat_0_spec_0].jpg,2,5,1,1,1,1,1.5,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_1_sat_0_spec_2].jpg,2,5,1,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_1_sat_1_spec_0].jpg,2,5,2,2,2,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_1_sat_1_spec_1].jpg,2,5,1,2,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_2_sat_0_spec_0].jpg,2,5,1,1,1,1,4,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_2_sat_0_spec_1].jpg,2,5,1.5,1,1.5,1.5,1.5,1.5
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_2_sat_0_spec_2].jpg,2,5,1,1,2,1,3,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_2_sat_1_spec_0].jpg,2,5,2,2,2,2,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_2_sat_1_spec_1].jpg,2,5,2,1,2,1,2,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_3_black_spec_0].jpg,2,5,2,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_3_black_spec_1].jpg,2,5,1,1,1,1,1,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_polyethylene_spec_hue_3_black_spec_2].jpg,2,5,1,1.5,1,1,2,7
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_0_sat_0_spec_2].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_0_sat_1_spec_0].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_0_sat_1_spec_1].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_0_sat_1_spec_2].jpg,2,5,1,1,1,2,2,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_1_sat_0_spec_0].jpg,2,5,1,1,1,1,4,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_1_sat_1_spec_0].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_1_sat_1_spec_2].jpg,2,5,1,1,1,1,4,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_2_sat_0_spec_0].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_2_sat_0_spec_1].jpg,2,5,1,1,1,1,4,2
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_2_sat_0_spec_2].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_3_black_spec_0].jpg,2,5,1,1,1,1,1,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_3_black_spec_1].jpg,2,5,1,1,1,1,1,4
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_red-plastic_spec_hue_3_black_spec_2].jpg,2,5,1,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_silver-paint_spec_hue_0_sat_0_spec_1].jpg,2,5,1,1,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_silver-paint_spec_hue_0_sat_1_spec_0].jpg,2,5,2,2,1,1,3,1
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_silver-paint_spec_hue_0_sat_1_spec_1].jpg,2,5,2,2,1,1,1,3
[1_2_fish_eagle_hill_2k][blob][MERL_EDIT-beige-fabric_diff_mix_silver-paint_spec_hue_0_sat_1_spec_2].jpg,2,5,2.5,1.5,1.5,2,2,2
